sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,errors
43100450,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Deluxe Rugged EDA Charging Cradle PSION IKON 7505",,,,1,,"Catalog, Search",69.99,54.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Psion,100,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories281_5_1_1_1_1_2_1_1_1_1_2_1_1_1_1_2_1_1.jpg,/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_1_1_2_1_1_1_1_2_1_1.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-450-psion-ikon2.jpg",",,",,,,,,,,,
43800110,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Bluebird Pidion BIP-7000",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"manufacturer=Bluebird Pidion",100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_1_1.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-362-pidion-bip-7000-2_1.jpg",",",,,,,,,,,
43800102,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Bluebird Pidion BIP-6000",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"manufacturer=Bluebird Pidion",100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_3.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-342-pidion-bip6000_2.jpg",",",,,,,,,,,
43800118,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Bluebird Pidion BM 180",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"manufacturer=Bluebird Pidion",100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_3_1.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-379-pidion-bm1802.jpg",",",,,,,,,,,
43800112,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Bluebird Pidion BIP-1500",,,,1,,"Catalog, Search",64.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"manufacturer=Bluebird Pidion",100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_3_1_1.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-365-pidion-bip-15003.jpg",",",,,,,,,,,
43800104,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Bluebird Pidion BIP-1300",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"manufacturer=Bluebird Pidion",100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_2.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-344-pidion-bip13001_2.jpg",",",,,,,,,,,
43800116,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Bluebird Pidion HM50",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"manufacturer=Bluebird Pidion",100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_2.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-368-pidion-hm40_1_2.jpg",",",,,,,,,,,
43800114,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Bluebird Pidion HM40 HM45",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"manufacturer=Bluebird Pidion",100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_2.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-368-pidion-hm40_2.jpg",",",,,,,,,,,
43800201,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Honeywell Dolphin 99EX",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Honeywell,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_1_2.jpg,/h/t/httptecpaq.commediacatalogproductcrcrec-201-honeywell-dolphin-99ex1_2.jpg",",",,,,,,,,,
43800203,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Honeywell Dolphin 7800",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Honeywell,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_2.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-903-honeywell-dolphin-7800_2.jpg",",",,,,,,,,,
43800200,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Honeywell Dolphin 6000",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Honeywell,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_2.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-900-honeywell-dolphin-6000_2.jpg",",",,,,,,,,,
43800304,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Intermec CS40",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Intermec,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_1_1_2_1_2.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-338-intermec-cn70_2_2.jpg",",",,,,,,,,,
43800306,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Intermec CN70 / CN70e",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Intermec,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_1_1_2_2_1.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-338-intermec-cn70_3_1.jpg",",",,,,,,,,,
43800302,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Intermec CN50 / CN51",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Intermec,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_1_1_1_1.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-332-intermec-cn50_1.jpg",",",,,,,,,,,
43800300,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Intermec CN3 / CN3e / CN4 / CN4e",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Intermec,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_1_1_3.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-330-intermec-cn32_3.jpg",",",,,,,,,,,
43800410,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Zebra / Motorola / Symbol MC45",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Motorola-Symbol-Zebra,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_1_1_2_1_1_1_1_2_2.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-317-motorola-mc45_2.jpg",",",,,,,,,,,
43800400,,Default,simple,"tecpaq,tecpaq/CarComm NL",base,"Active Rugged EDA Charging Cradle Zebra / Motorola / Symbol MC50",,,,1,,"Catalog, Search",59.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturer=Motorola-Symbol-Zebra,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,"/h/t/httptecpaq.commediacatalogproduct_a_accessories752_1_1_1_1_1_1_2_1_1_1_1_2_1_1_1_1_2_2.jpg,/h/t/httptecpaq.commediacatalogproductcmcmpc-112-symbol-mc50_2.jpg",",",,,,,,,,,
